행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
　　　구로구,90 - 94세,"1,089",265,824
　　　구로구,95 - 99세,298,74,224
　　　구로구,100+,156,33,123
　　　금천구,계,"232,810","118,209","114,601"
　　　금천구,0 - 4세,"6,624","3,414","3,210"
　　　금천구,5 - 9세,"7,122","3,633","3,489"
　　　금천구,10 - 14세,"6,854","3,482","3,372"
　　　금천구,15 - 19세,"8,951","4,571","4,380"
　　　금천구,20 - 24세,"14,787","7,360","7,427"
　　　금천구,25 - 29세,"21,454","11,274","10,180"
　　　금천구,30 - 34세,"17,949","9,922","8,027"
　　　금천구,35 - 39세,"17,717","9,762","7,955"
　　　금천구,40 - 44세,"15,489","8,209","7,280"
　　　금천구,45 - 49세,"18,702","9,617","9,085"
　　　금천구,50 - 54세,"20,016","10,014","10,002"
　　　금천구,55 - 59세,"21,334","10,778","10,556"
　　　금천구,60 - 64세,"18,615","9,236","9,379"
　　　금천구,65 - 69세,"12,896","6,230","6,666"
　　　금천구,70 - 74세,"9,979","4,702","5,277"
　　　금천구,75 - 79세,"7,461","3,438","4,023"
　　　금천구,80 - 84세,"4,130","1,715","2,415"
　　　금천구,85 - 89세,"1,787",616,"1,171"
　　　금천구,90 - 94세,602,127,475
　　　금천구,95 - 99세,173,53,120
　　　금천구,100+,168,56,112
　　　영등포구,계,"367,678","182,438","185,240"
　　　영등포구,0 - 4세,"12,883","6,557","6,326"
　　　영등포구,5 - 9세,"12,564","6,356","6,208"
　　　영등포구,10 - 14세,"11,192","5,901","5,291"
　　　영등포구,15 - 19세,"13,667","7,192","6,475"
　　　영등포구,20 - 24세,"21,731","10,211","11,520"
　　　영등포구,25 - 29세,"34,924","16,728","18,196"
　　　영등포구,30 - 34세,"33,614","17,119","16,495"
　　　영등포구,35 - 39세,"32,372","16,897","15,475"
　　　영등포구,40 - 44세,"26,642","13,626","13,016"
　　　영등포구,45 - 49세,"28,882","14,904","13,978"
　　　영등포구,50 - 54세,"27,733","14,123","13,610"
　　　영등포구,55 - 59세,"28,435","14,317","14,118"
　　　영등포구,60 - 64세,"26,082","12,853","13,229"
　　　영등포구,65 - 69세,"18,444","8,784","9,660"
　　　영등포구,70 - 74세,"14,850","7,049","7,801"
　　　영등포구,75 - 79세,"11,416","5,120","6,296"
　　　영등포구,80 - 84세,"7,304","3,131","4,173"
　　　영등포구,85 - 89세,"3,206","1,095","2,111"
　　　영등포구,90 - 94세,"1,136",311,825
　　　영등포구,95 - 99세,332,98,234
　　　영등포구,100+,269,66,203
　　　동작구,계,"395,963","191,976","203,987"
　　　동작구,0 - 4세,"12,473","6,313","6,160"
　　　동작구,5 - 9세,"14,123","7,229","6,894"
　　　동작구,10 - 14세,"13,266","6,828","6,438"
　　　동작구,15 - 19세,"16,185","8,279","7,906"
　　　동작구,20 - 24세,"28,188","13,352","14,836"
　　　동작구,25 - 29세,"38,194","19,043","19,151"
　　　동작구,30 - 34세,"32,056","16,237","15,819"
　　　동작구,35 - 39세,"32,105","16,204","15,901"
　　　동작구,40 - 44세,"29,050","14,559","14,491"
